,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
8036,jaipur,2020,MG,Hector,1425000,43254,Petrol,  Automatic,2020,Comprehensive,6,First Owner,141.0,1451.0,11.67
8037,jaipur,2022,Volkswagen,Virtus,1300000,61000,Petrol,  Manual,2022,Comprehensive,5,First Owner,113.98,999.0,19.4
8038,jaipur,2015,Mercedes-Benz,GLA,1675000,122000,Diesel,  Automatic,2015,Comprehensive,5,Second Owner,136.0,2143.0,14.0
8039,jaipur,2020,Datsun,RediGO,326000,23304,Petrol,  Automatic,2021,Comprehensive,5,Second Owner,67.05,999.0,22.0
8040,jaipur,2023,Hyundai,Creta,1650000,53000,Diesel,  Manual,2023,Comprehensive,5,Second Owner,113.45,1493.0,18.0
8041,jaipur,2023,Hyundai,Creta,1651000,55000,Diesel,  Manual,2023,Third Party,5,Second Owner,113.45,1493.0,18.0
8042,jaipur,2018,Audi,Q3,2500000,63000,Diesel,  Automatic,2018,Comprehensive,5,First Owner,181.0,1968.0,14.0
8043,jaipur,2014,Hyundai,Santa,750000,116145,Diesel,  Automatic,2014,Comprehensive,7,First Owner,194.3,2199.0,13.01
8044,jaipur,2014,Maruti,Ciaz,490000,85000,Diesel,  Manual,2015,Comprehensive,5,Second Owner,88.5,1248.0,26.21
8045,jaipur,2017,Audi,A6,2425000,78000,Diesel,  Automatic,2017,Expired,5,First Owner,187.74,1968.0,18.53
8046,jaipur,2014,Toyota,Fortuner,1441000,185000,Diesel,  Manual,2014,Comprehensive,7,First Owner,168.5,2982.0,12.55
8047,jaipur,2017,Volkswagen,Vento,675000,75000,Diesel,  Automatic,2017,Comprehensive,5,First Owner,108.6,1498.0,22.15
8048,jaipur,2016,Honda,Amaze,401999,44573,Petrol,  Manual,2016,Comprehensive,5,First Owner,86.7,1198.0,18.0
8049,jaipur,2019,Maruti,Baleno,590000,55000,Petrol,  Manual,2019,Comprehensive,5,First Owner,83.1,1197.0,21.4
8050,jaipur,2017,Honda,Amaze,408000,85091,Petrol,  Manual,2017,Expired,5,Second Owner,88.76,1199.0,19.5
8051,jaipur,2016,Toyota,Innova,1351000,160000,Diesel,  Manual,2016,Comprehensive,7,First Owner,100.6,2494.0,14.0
8052,jaipur,2018,Tata,Nexon,750000,41000,Petrol,  Manual,2019,Comprehensive,5,First Owner,108.5,1198.0,17.0
8053,jaipur,2018,Nissan,Micra,390000,59000,Petrol,  Manual,2019,Comprehensive,5,First Owner,67.04,1198.0,19.49
